name,line,end,kind,signature,intent,consumers,consumer_count,exposed_to_dom,refs,status
"normalizeTeacherFilterId",68,72,sync,"value","Teacher: validate a picking-filter id against the allowed set, returning null if invalid.","loadTeacherPickFilterId|saveTeacherPickFilterId|syncTeacherPickFiltersUI|initTeacherPickFiltersUI|getActiveTeacherFilterId|getTeacherAddedTasksContextKey",6,no,7,called
"loadTeacherPickFilterId",73,80,sync,"","Teacher: read the persisted picking-filter id from sessionStorage.","initTeacherPickFiltersUI",1,no,2,called
"saveTeacherPickFilterId",81,91,sync,"filterId","Teacher: persist (or clear) the picking-filter id in sessionStorage.","initTeacherPickFiltersUI",1,no,2,called
"setTeacherPickFiltersEnabled",92,96,sync,"enabled","Teacher: enable/disable the hidden filter radio inputs (gated on a student being selected).","initTeacherPickFiltersUI|setTeacherStudentViewUI",2,no,3,called
"syncTeacherPickFiltersUI",97,109,sync,"","Teacher: reflect the current filter id into the hidden filter radio checked-states.","initTeacherPickFiltersUI",1,no,2,called
"initTeacherPickFiltersUI",110,132,sync,"","Teacher: one-time wiring of the picking-filter radios + restore persisted filter on boot.","initAuthHeader",1,no,2,called
"getActiveTeacherFilterId",133,152,sync,"studentId = null","Teacher: resolve the effective filter id for a given/selected student (null if none).","loadTeacherStudentStats|buildHwCreatePrefill|pickQuestionsViaTeacherScreenResolve|pickQuestionsViaTeacherScreenResolveBatch|saveSelectionAndGo",5,no,6,called
"isStudentLikeHome",153,160,sync,"","Branch helper: true on student home, or teacher home with a student selected (stats UI).","setHomeStatsLoading|updateScoreThermo|updateScoreForecast|clearStudentLast10UI|applyDashboardHomeStats|applyTeacherPickingHomeStats|syncHomeTopicBadgesWidth|renderAccordion|renderSectionNode|renderTopicRow",10,no,12,called
"safeJsonParse",161,164,sync,"raw","Util: JSON.parse wrapper returning null on error.","readTeacherSelectedStudentId|loadTeacherAddedTasksStore",2,no,3,called
"fmtName",165,166,sync,"x","Util: trim a name-like value to a clean string.","studentLabel",1,no,3,called
"emailLocalPart",167,174,sync,"email","Util: extract the local part of an email address.","studentLabel",1,no,2,called
"studentLabel",175,184,sync,"st","Teacher: build a human display label for a student (name, else email local part, else id).","refreshTeacherStudentSelect",1,no,2,called
"setTeacherStudentStatus",185,189,sync,"msg","Teacher: write a status message into the student-select status element.","refreshTeacherStudentSelect",1,no,6,called
"readTeacherSelectedStudentId",190,209,sync,"nowMs","Teacher: read the last-selected student id from sessionStorage, honoring a TTL.","refreshTeacherStudentSelect|initAuthHeader",2,no,3,called
"writeTeacherSelectedStudentId",210,220,sync,"id","Teacher: persist the selected student id (with timestamp) for hw_create autofill.","wireTeacherStudentSelect|refreshTeacherStudentSelect|initCreateHomeworkButton",3,no,4,called
"wireTeacherStudentSelect",221,230,sync,"sel","Teacher: attach a once-only change handler to the hidden student <select> driving the student view.","refreshTeacherStudentSelect",1,no,2,called
"setTeacherStudentViewUI",231,241,sync,"studentId","Teacher: set the active viewed-student id, toggle body class, enable filters, notify context change.","applyTeacherStudentView",1,no,2,called
"loadTeacherStudentStats",242,281,async,"studentId, opts = {}","Teacher: fetch the selected student's picking-screen stats (v2 init) and apply them.","applyTeacherStudentView",1,no,3,called
"applyTeacherStudentView",282,308,sync,"studentId, opts = {}","Teacher: switch into 'as the student' mode — re-render accordion and load that student's stats.","wireTeacherStudentSelect|refreshTeacherStudentSelect|initAuthHeader",3,no,6,called
"refreshTeacherStudentSelect",309,536,async,"opts = {}","Teacher: load/refresh the student dropdown via listMyStudents (throttle, dedup, timeouts).","initAuthHeader",1,no,5,called
"getAppBuildTag",537,544,sync,"","Util: read the app-build meta tag (used for cache-key versioning).","homeLast10CacheKey",1,no,2,called
"homeLast10CacheKey",545,552,sync,"uid, scope","Student: build the localStorage/sessionStorage cache key for last-10 dashboard data.","loadHomeLast10Cache|saveHomeLast10Cache|invalidateStudentLast10Cache",3,no,7,called
